0.000000000000000000e+00,3.290297484844367659e+02,2.461180431231549903e+02,-3.099578347148045365e-01,9.507503040751077439e-01
1.000000000000000000e+00,3.290311795832752750e+02,2.461180123353389320e+02,-3.098860428804749989e-01,9.507737062139867135e-01
2.000000000000000000e+00,3.290328069793947066e+02,2.461205483789822495e+02,-3.098787999987190345e-01,9.507760668587287300e-01
3.000000000000000000e+00,3.290331039782565199e+02,2.461189430013135961e+02,-3.098751706830595865e-01,9.507772497247420906e-01
4.000000000000000000e+00,3.290313214277725820e+02,2.461214306192421191e+02,-3.098743220148223454e-01,9.507775263203553928e-01
5.000000000000000000e+00,3.290343055082137766e+02,2.461199604849070681e+02,-3.098299940041378542e-01,9.507919724184654697e-01
6.000000000000000000e+00,3.290326139374329273e+02,2.461211276456532175e+02,-3.097014911200221543e-01,9.508338374279886596e-01
7.000000000000000000e+00,3.290319524109991676e+02,2.461177349529758374e+02,-3.095158499545593300e-01,9.508942836230044326e-01
8.000000000000000000e+00,3.290332606248232423e+02,2.461189965590679094e+02,-3.092846183719830111e-01,9.509695183540305408e-01
9.000000000000000000e+00,3.290290251329720945e+02,2.461182569267994893e+02,-3.093042688851539990e-01,9.509631271765590643e-01
1.000000000000000000e+01,3.290321159834095397e+02,2.461158519681998200e+02,-3.091771351299583692e-01,9.510044685030830669e-01
1.100000000000000000e+01,3.290351330632570352e+02,2.461200652975355467e+02,-3.090586162844344287e-01,9.510429915100319098e-01
1.200000000000000000e+01,3.290354699827581157e+02,2.461182074338772736e+02,-3.088887761647160501e-01,9.510981673620573229e-01
1.300000000000000000e+01,3.290356506060832089e+02,2.461229848008264582e+02,-3.086463441966943999e-01,9.511768679977534724e-01
1.400000000000000000e+01,3.290355729586997313e+02,2.461251036872196778e+02,-3.084261180236221866e-01,9.512483007716117100e-01
1.500000000000000000e+01,3.290355463612253857e+02,2.461200180016340653e+02,-3.085124064213537465e-01,9.512203188978384238e-01
1.600000000000000000e+01,3.290393789921483290e+02,2.461239081615192390e+02,-3.084497896325146815e-01,9.512406253286586066e-01
1.700000000000000000e+01,3.290349311993397237e+02,2.461233337402219377e+02,-3.083896681939149453e-01,9.512601182385641563e-01
1.800000000000000000e+01,3.290381883575428219e+02,2.461271521586248809e+02,-3.081915310933164842e-01,9.513243296386134640e-01
1.900000000000000000e+01,3.290390294313311301e+02,2.461286317480536638e+02,-3.080764408172682045e-01,9.513616066529930748e-01
2.000000000000000000e+01,3.290373239816597675e+02,2.461252424297944970e+02,-3.084747996491014055e-01,9.512325152040623788e-01
2.100000000000000000e+01,3.290408104926244732e+02,2.461243943047353184e+02,-3.084318929943900001e-01,9.512464283159738354e-01
2.200000000000000000e+01,3.290395566037640265e+02,2.461233252839456043e+02,-3.085915341081582608e-01,9.511946515181702866e-01
2.300000000000000000e+01,3.289061568401564273e+02,2.462210429986865279e+02,-3.086362959919568549e-01,9.511801284700838188e-01
2.400000000000000000e+01,3.290262792190283108e+02,2.461370687674009901e+02,-3.085048179529349954e-01,9.512227800572410352e-01
2.500000000000000000e+01,3.289956741226283157e+02,2.461596949602580366e+02,-3.084574537456812315e-01,9.512381401251376323e-01
2.600000000000000000e+01,3.289970922553399646e+02,2.461586959883428563e+02,-3.076248184710485556e-01,9.515077356809320541e-01
2.700000000000000000e+01,3.289962031946714092e+02,2.461572011224486687e+02,-3.071273534823273921e-01,9.516684237395615087e-01
2.800000000000000000e+01,3.289970924997668362e+02,2.461578263205087467e+02,-3.071149743721269254e-01,9.516724187011031955e-01
2.900000000000000000e+01,3.289959102565024409e+02,2.461609318389790246e+02,-3.072905252120468056e-01,9.516157486690226541e-01
3.000000000000000000e+01,3.289983100634490256e+02,2.461562395443612274e+02,-3.072550753536886781e-01,9.516271952132300260e-01
3.100000000000000000e+01,3.289933314555754578e+02,2.461602217426451489e+02,-3.070759994623025180e-01,9.516849954445157911e-01
3.200000000000000000e+01,3.289966806082690027e+02,2.461614711134614311e+02,-3.069571542754490623e-01,9.517233345038452752e-01
3.300000000000000000e+01,3.289958130655431887e+02,2.461612836867277565e+02,-3.068287858532323109e-01,9.517647273206920611e-01
3.400000000000000000e+01,3.289974166987065018e+02,2.461634424796130816e+02,-3.068915461934100253e-01,9.517444924321958322e-01
3.500000000000000000e+01,3.289959201830114921e+02,2.461611541247486343e+02,-3.070081338535887161e-01,9.517068906694629016e-01
3.600000000000000000e+01,3.289974357656328721e+02,2.461598150404614103e+02,-3.071563832312736442e-01,9.516590546200267564e-01
3.700000000000000000e+01,3.290006927657553888e+02,2.461611464554618181e+02,-3.069076721746498149e-01,9.517392924327217063e-01
3.800000000000000000e+01,3.289969469223511283e+02,2.461617948441133308e+02,-3.066983111573961529e-01,9.518067797264322394e-01
3.900000000000000000e+01,3.289961921987474511e+02,2.461591598388126840e+02,-3.069409580551240024e-01,9.517285580816636781e-01
4.000000000000000000e+01,3.290000911330884605e+02,2.461647847574143100e+02,-3.069990324038572860e-01,9.517098266294697906e-01
4.100000000000000000e+01,3.290000766049028584e+02,2.461624786585522600e+02,-3.065281969799521500e-01,9.518615784115984635e-01
4.200000000000000000e+01,3.290026497892251314e+02,2.461590093211549686e+02,-3.066366494679532151e-01,9.518266466132725423e-01
4.300000000000000000e+01,3.289978393543438528e+02,2.461609354467792343e+02,-3.059827793883741487e-01,9.520370469250477585e-01
4.400000000000000000e+01,3.290005681290633106e+02,2.461614544877692481e+02,-3.057392113203468154e-01,9.521152948362988644e-01
4.500000000000000000e+01,3.284981071323301194e+02,2.465327617531775957e+02,-3.061747256872553447e-01,9.519753344232895209e-01
4.600000000000000000e+01,3.270717311138101309e+02,2.475332925092785956e+02,-2.607645418772100987e-01,9.654024309579755103e-01
4.700000000000000000e+01,3.244405328774768122e+02,2.489919242919551436e+02,-2.431098937501519341e-01,9.699987523501202302e-01
