3.000000000000000000e+01,3.289983100634490256e+02,2.461562395443612274e+02,-3.072550753536886781e-01,9.516271952132300260e-01
3.100000000000000000e+01,3.289933314555754578e+02,2.461602217426451489e+02,-3.070759994623025180e-01,9.516849954445157911e-01
3.200000000000000000e+01,3.289966806082690027e+02,2.461614711134614311e+02,-3.069571542754490623e-01,9.517233345038452752e-01
3.300000000000000000e+01,3.289958130655431887e+02,2.461612836867277565e+02,-3.068287858532323109e-01,9.517647273206920611e-01
3.400000000000000000e+01,3.289974166987065018e+02,2.461634424796130816e+02,-3.068915461934100253e-01,9.517444924321958322e-01
3.500000000000000000e+01,3.289959201830114921e+02,2.461611541247486343e+02,-3.070081338535887161e-01,9.517068906694629016e-01
3.600000000000000000e+01,3.289974357656328721e+02,2.461598150404614103e+02,-3.071563832312736442e-01,9.516590546200267564e-01
3.700000000000000000e+01,3.290006927657553888e+02,2.461611464554618181e+02,-3.069076721746498149e-01,9.517392924327217063e-01
3.800000000000000000e+01,3.289969469223511283e+02,2.461617948441133308e+02,-3.066983111573961529e-01,9.518067797264322394e-01
3.900000000000000000e+01,3.289961921987474511e+02,2.461591598388126840e+02,-3.069409580551240024e-01,9.517285580816636781e-01
4.000000000000000000e+01,3.290000911330884605e+02,2.461647847574143100e+02,-3.069990324038572860e-01,9.517098266294697906e-01
4.100000000000000000e+01,3.290000766049028584e+02,2.461624786585522600e+02,-3.065281969799521500e-01,9.518615784115984635e-01
4.200000000000000000e+01,3.290026497892251314e+02,2.461590093211549686e+02,-3.066366494679532151e-01,9.518266466132725423e-01
4.300000000000000000e+01,3.289978393543438528e+02,2.461609354467792343e+02,-3.059827793883741487e-01,9.520370469250477585e-01
4.400000000000000000e+01,3.290005681290633106e+02,2.461614544877692481e+02,-3.057392113203468154e-01,9.521152948362988644e-01
4.500000000000000000e+01,3.284981071323301194e+02,2.465327617531775957e+02,-3.061747256872553447e-01,9.519753344232895209e-01
4.600000000000000000e+01,3.270717311138101309e+02,2.475332925092785956e+02,-2.607645418772100987e-01,9.654024309579755103e-01
4.700000000000000000e+01,3.244405328774768122e+02,2.489919242919551436e+02,-2.431098937501519341e-01,9.699987523501202302e-01
4.800000000000000000e+01,3.219065504027954034e+02,2.503849349292396198e+02,-2.426548613349153727e-01,9.701126832850568427e-01
4.900000000000000000e+01,3.203011252299292551e+02,2.512646794088743434e+02,-2.436284836464600034e-01,9.698686312878288529e-01
5.000000000000000000e+01,3.200348589940852548e+02,2.514095454585966820e+02,-2.439629678351963038e-01,9.697845484049758547e-01
