time,lat,lon,, Log Jul 6 2023, from Stockland Office to Beach
wp0,-31.59417335233283, 115.67145650435408,20,0.4921828,
wp1,-31.596792480114843, 115.66430043298153,20,0.0,
wp2,-31.59873744901119, 115.65350543024377,20,-1.5708,
