run_name,timestamp,model_type,n_patches,points_per_patch,freeze_encoder,drop_path_rate,pointcam_checkpoint_path,lr,weight_decay,gamma,batch_size,epochs_requested,epochs_completed,best_train_loss,final_train_loss,final_train_accuracy1,final_train_accuracy2,final_val_loss,final_val_accuracy1,final_val_accuracy2,total_training_time_sec,checkpoint_saved
run014_patches_undersampled,2026-09-07T16:27:00,lane_following,32,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004922857306293791,0.0005139335184041974,"tensor(0.9141, device='cuda:0')","tensor(0.8657, device='cuda:0')",0.0005154795991402808,"tensor(0.9950, device='cuda:0')","tensor(0.9147, device='cuda:0')",152.8,pointcam_shuttle_lane_following.pth
run015_patches_undersampled,2026-09-07T16:29:39,lane_following,32,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004718324467644906,0.0004718324467644906,"tensor(0.9135, device='cuda:0')","tensor(0.8760, device='cuda:0')",0.00047017697093068247,"tensor(0.9925, device='cuda:0')","tensor(0.9034, device='cuda:0')",150.7,pointcam_shuttle_lane_following.pth
run016_patches_oversampled,2026-09-07T16:36:02,lane_following,128,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004975646468520931,0.0004975646468520931,"tensor(0.9158, device='cuda:0')","tensor(0.8682, device='cuda:0')",0.0004615579197492719,"tensor(0.9925, device='cuda:0')","tensor(0.9191, device='cuda:0')",374.8,pointcam_shuttle_lane_following.pth
run017_patches_oversampled,2026-09-07T16:42:26,lane_following,128,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005435082652077703,0.0005687601081203528,"tensor(0.9157, device='cuda:0')","tensor(0.8715, device='cuda:0')",0.0005138930435464674,"tensor(0.9944, device='cuda:0')","tensor(0.9103, device='cuda:0')",375.1,pointcam_shuttle_lane_following.pth
run018_patches_oversampled,2026-09-07T16:48:48,lane_following,128,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005157948995009356,0.0005157948995009356,"tensor(0.9141, device='cuda:0')","tensor(0.8666, device='cuda:0')",0.0006236542214794219,"tensor(0.9279, device='cuda:0')","tensor(0.9172, device='cuda:0')",374.9,pointcam_shuttle_lane_following.pth
run019_patches_oversampled,2026-09-07T16:55:12,lane_following,128,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005141678983808442,0.000527596054445391,"tensor(0.9163, device='cuda:0')","tensor(0.8639, device='cuda:0')",0.0005127016992124271,"tensor(0.9912, device='cuda:0')","tensor(0.9235, device='cuda:0')",375.5,pointcam_shuttle_lane_following.pth
run020_patches_oversampled,2026-09-07T17:01:35,lane_following,128,32,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005343912911300171,0.0005368352068322713,"tensor(0.9177, device='cuda:0')","tensor(0.8642, device='cuda:0')",0.0007026466970159715,"tensor(0.9937, device='cuda:0')","tensor(0.9241, device='cuda:0')",375.0,pointcam_shuttle_lane_following.pth
run021_patches_fewer_larger,2026-09-07T17:04:41,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005235928299846013,0.0005378358794321066,"tensor(0.9157, device='cuda:0')","tensor(0.8702, device='cuda:0')",0.0005829574592808571,"tensor(0.9931, device='cuda:0')","tensor(0.9078, device='cuda:0')",178.3,pointcam_shuttle_lane_following.pth
run022_patches_fewer_larger,2026-09-07T17:07:46,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005162568845533431,0.0005686100041498154,"tensor(0.9157, device='cuda:0')","tensor(0.8686, device='cuda:0')",0.000527338273706481,"tensor(0.9925, device='cuda:0')","tensor(0.9154, device='cuda:0')",176.5,pointcam_shuttle_lane_following.pth
run023_patches_fewer_larger,2026-09-07T17:10:51,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005485778281748117,0.0005512128323188096,"tensor(0.9171, device='cuda:0')","tensor(0.8699, device='cuda:0')",0.0005341874534807236,"tensor(0.9950, device='cuda:0')","tensor(0.9254, device='cuda:0')",176.8,pointcam_shuttle_lane_following.pth
run024_patches_fewer_larger,2026-09-07T17:13:56,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005086763655504924,0.0005177147061609142,"tensor(0.9149, device='cuda:0')","tensor(0.8680, device='cuda:0')",0.0004888935312395185,"tensor(0.9956, device='cuda:0')","tensor(0.9235, device='cuda:0')",177.0,pointcam_shuttle_lane_following.pth
run025_patches_fewer_larger,2026-09-07T17:17:03,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0004864753785902737,0.0004864753785902737,"tensor(0.9166, device='cuda:0')","tensor(0.8708, device='cuda:0')",0.0005114838294100985,"tensor(0.9944, device='cuda:0')","tensor(0.9147, device='cuda:0')",179.2,pointcam_shuttle_lane_following.pth
run026_patches_fewer_larger,2026-09-07T17:20:08,lane_following,32,64,False,0.1,,0.0001,0.05,0.8,70,10,10,0.0005425606758047148,0.0005569350074256619,"tensor(0.9144, device='cuda:0')","tensor(0.8668, device='cuda:0')",0.000496807174762962,"tensor(0.9235, device='cuda:0')","tensor(0.9248, device='cuda:0')",176.6,pointcam_shuttle_lane_following.pth
run027_drop_path_0.0,2026-09-07T17:24:05,lane_following,64,32,False,0.0,,0.0001,0.05,0.8,70,10,10,0.0005005961962933076,0.0005086630572297577,"tensor(0.9155, device='cuda:0')","tensor(0.8666, device='cuda:0')",0.0004401288144173667,"tensor(0.9925, device='cuda:0')","tensor(0.9185, device='cuda:0')",228.2,pointcam_shuttle_lane_following.pth
run028_drop_path_0.0,2026-09-07T17:28:02,lane_following,64,32,False,0.0,,0.0001,0.05,0.8,70,10,10,0.0005180065119050666,0.0005892125405236871,"tensor(0.9122, device='cuda:0')","tensor(0.8663, device='cuda:0')",0.0004607315721182988,"tensor(0.9975, device='cuda:0')","tensor(0.9191, device='cuda:0')",229.2,pointcam_shuttle_lane_following.pth
run029_drop_path_0.0,2026-09-07T17:31:59,lane_following,64,32,False,0.0,,0.0001,0.05,0.8,70,10,10,0.0005161116099115598,0.0005209739577666983,"tensor(0.9135, device='cuda:0')","tensor(0.8677, device='cuda:0')",0.0005639994441061559,"tensor(0.9925, device='cuda:0')","tensor(0.9172, device='cuda:0')",228.8,pointcam_shuttle_lane_following.pth
run030_drop_path_0.0,2026-09-07T17:35:57,lane_following,64,32,False,0.0,,0.0001,0.05,0.8,70,10,10,0.0005188721853630597,0.0005188721853630597,"tensor(0.9164, device='cuda:0')","tensor(0.8677, device='cuda:0')",0.0005079678829093712,"tensor(0.9937, device='cuda:0')","tensor(0.9235, device='cuda:0')",230.3,pointcam_shuttle_lane_following.pth
run031_drop_path_0.0,2026-09-07T17:39:56,lane_following,64,32,False,0.0,,0.0001,0.05,0.8,70,10,10,0.0005459290574217014,0.0005459290574217014,"tensor(0.9164, device='cuda:0')","tensor(0.8674, device='cuda:0')",0.0005173417900142999,"tensor(0.9655, device='cuda:0')","tensor(0.9191, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
run032_drop_path_0.3,2026-09-07T17:43:54,lane_following,64,32,False,0.3,,0.0001,0.05,0.8,70,10,10,0.0004893377747986454,0.0004893377747986454,"tensor(0.9193, device='cuda:0')","tensor(0.8689, device='cuda:0')",0.0005317592777335158,"tensor(0.9944, device='cuda:0')","tensor(0.9248, device='cuda:0')",229.8,pointcam_shuttle_lane_following.pth
run033_drop_path_0.3,2026-09-07T17:47:54,lane_following,64,32,False,0.3,,0.0001,0.05,0.8,70,10,10,0.0004967588076940579,0.0004967588076940579,"tensor(0.9119, device='cuda:0')","tensor(0.8677, device='cuda:0')",0.0006021911576156706,"tensor(0.9799, device='cuda:0')","tensor(0.9141, device='cuda:0')",231.8,pointcam_shuttle_lane_following.pth
run034_drop_path_0.3,2026-09-07T17:51:52,lane_following,64,32,False,0.3,,0.0001,0.05,0.8,70,10,10,0.0005280928536467015,0.0005280928536467015,"tensor(0.9141, device='cuda:0')","tensor(0.8650, device='cuda:0')",0.00039734044418813293,"tensor(0.9950, device='cuda:0')","tensor(0.9361, device='cuda:0')",229.9,pointcam_shuttle_lane_following.pth
run035_drop_path_0.3,2026-09-07T17:55:50,lane_following,64,32,False,0.3,,0.0001,0.05,0.8,70,10,10,0.0005209352292598162,0.0005661729579552866,"tensor(0.9161, device='cuda:0')","tensor(0.8650, device='cuda:0')",0.0008268191522939079,"tensor(0.9918, device='cuda:0')","tensor(0.9273, device='cuda:0')",229.9,pointcam_shuttle_lane_following.pth
run036_drop_path_0.3,2026-09-07T17:59:48,lane_following,64,32,False,0.3,,0.0001,0.05,0.8,70,10,10,0.0005022826916835285,0.0005022826916835285,"tensor(0.9142, device='cuda:0')","tensor(0.8696, device='cuda:0')",0.00043033656713824286,"tensor(0.9962, device='cuda:0')","tensor(0.9179, device='cuda:0')",229.5,pointcam_shuttle_lane_following.pth
run037_weight_decay_0.0,2026-09-07T18:03:47,lane_following,64,32,False,0.1,,0.0001,0.0,0.8,70,10,10,0.0004920600906895104,0.0005135583403828489,"tensor(0.9174, device='cuda:0')","tensor(0.8666, device='cuda:0')",0.0006232491481266798,"tensor(0.9918, device='cuda:0')","tensor(0.9260, device='cuda:0')",231.6,pointcam_shuttle_lane_following.pth
run038_weight_decay_0.0,2026-09-07T18:07:45,lane_following,64,32,False,0.1,,0.0001,0.0,0.8,70,10,10,0.0004946788488828122,0.0005001370789377195,"tensor(0.9122, device='cuda:0')","tensor(0.8663, device='cuda:0')",0.00044654147191481154,"tensor(0.9944, device='cuda:0')","tensor(0.9254, device='cuda:0')",229.7,pointcam_shuttle_lane_following.pth
run039_weight_decay_0.0,2026-09-07T18:11:42,lane_following,64,32,False,0.1,,0.0001,0.0,0.8,70,10,10,0.0005267973694915887,0.0005389509606083876,"tensor(0.9163, device='cuda:0')","tensor(0.8693, device='cuda:0')",0.00048426686432854885,"tensor(0.9931, device='cuda:0')","tensor(0.9210, device='cuda:0')",229.1,pointcam_shuttle_lane_following.pth
run040_weight_decay_0.0,2026-09-07T18:15:39,lane_following,64,32,False,0.1,,0.0001,0.0,0.8,70,10,10,0.000510580539306254,0.000510580539306254,"tensor(0.9119, device='cuda:0')","tensor(0.8705, device='cuda:0')",0.0005713845985623363,"tensor(0.9956, device='cuda:0')","tensor(0.9022, device='cuda:0')",229.1,pointcam_shuttle_lane_following.pth
run041_weight_decay_0.0,2026-09-07T18:19:38,lane_following,64,32,False,0.1,,0.0001,0.0,0.8,70,10,10,0.0005307285596040895,0.0005421750548234795,"tensor(0.9155, device='cuda:0')","tensor(0.8683, device='cuda:0')",0.0005434350043441808,"tensor(0.9925, device='cuda:0')","tensor(0.9216, device='cuda:0')",230.1,pointcam_shuttle_lane_following.pth
run042_weight_decay_0.2,2026-09-07T18:23:35,lane_following,64,32,False,0.1,,0.0001,0.2,0.8,70,10,10,0.0005263000917081494,0.0006085328876313454,"tensor(0.9150, device='cuda:0')","tensor(0.8653, device='cuda:0')",0.00048717544487090694,"tensor(0.9950, device='cuda:0')","tensor(0.9266, device='cuda:0')",229.1,pointcam_shuttle_lane_following.pth
run043_weight_decay_0.2,2026-09-07T18:27:34,lane_following,64,32,False,0.1,,0.0001,0.2,0.8,70,10,10,0.0004624230274704299,0.0004877929803060502,"tensor(0.9152, device='cuda:0')","tensor(0.8686, device='cuda:0')",0.00045433608248689704,"tensor(0.9944, device='cuda:0')","tensor(0.9160, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
run044_weight_decay_0.2,2026-09-07T18:31:33,lane_following,64,32,False,0.1,,0.0001,0.2,0.8,70,10,10,0.0004864966552012541,0.0004864966552012541,"tensor(0.9127, device='cuda:0')","tensor(0.8669, device='cuda:0')",0.0004453653615657065,"tensor(0.9937, device='cuda:0')","tensor(0.9078, device='cuda:0')",230.1,pointcam_shuttle_lane_following.pth
run045_weight_decay_0.2,2026-09-07T18:35:32,lane_following,64,32,False,0.1,,0.0001,0.2,0.8,70,10,10,0.0005058772218981438,0.0005058772218981438,"tensor(0.9121, device='cuda:0')","tensor(0.8664, device='cuda:0')",0.0004426320354953455,"tensor(0.9937, device='cuda:0')","tensor(0.9317, device='cuda:0')",231.0,pointcam_shuttle_lane_following.pth
