run_name,repeat,timestamp,returncode,log_file,n_patches,points_per_patch,freeze_encoder,drop_path_rate,lr,weight_decay,gamma,batch_size
run007_drop_path_0.3_rep3,3,2026-09-07T14:35:04,1,sweep_logs_bayliss/run007_drop_path_0.3_rep3.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep4,4,2026-09-07T14:35:05,1,sweep_logs_bayliss/run007_drop_path_0.3_rep4.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep5,5,2026-09-07T14:35:06,1,sweep_logs_bayliss/run007_drop_path_0.3_rep5.log,64,32,False,0.3,0.0001,0.05,0.8,70
run008_weight_decay_0.0_rep1,1,2026-09-07T14:35:07,1,sweep_logs_bayliss/run008_weight_decay_0.0_rep1.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep2,2,2026-09-07T14:35:08,1,sweep_logs_bayliss/run008_weight_decay_0.0_rep2.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep3,3,2026-09-07T14:35:09,1,sweep_logs_bayliss/run008_weight_decay_0.0_rep3.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep4,4,2026-09-07T14:35:10,1,sweep_logs_bayliss/run008_weight_decay_0.0_rep4.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep5,5,2026-09-07T14:35:11,1,sweep_logs_bayliss/run008_weight_decay_0.0_rep5.log,64,32,False,0.1,0.0001,0.0,0.8,70
run009_weight_decay_0.2_rep1,1,2026-09-07T14:35:12,1,sweep_logs_bayliss/run009_weight_decay_0.2_rep1.log,64,32,False,0.1,0.0001,0.2,0.8,70
run009_weight_decay_0.2_rep2,2,2026-09-07T14:35:12,1,sweep_logs_bayliss/run009_weight_decay_0.2_rep2.log,64,32,False,0.1,0.0001,0.2,0.8,70
run009_weight_decay_0.2_rep3,3,2026-09-07T14:35:13,1,sweep_logs_bayliss/run009_weight_decay_0.2_rep3.log,64,32,False,0.1,0.0001,0.2,0.8,70
run009_weight_decay_0.2_rep4,4,2026-09-07T14:35:14,1,sweep_logs_bayliss/run009_weight_decay_0.2_rep4.log,64,32,False,0.1,0.0001,0.2,0.8,70
run009_weight_decay_0.2_rep5,5,2026-09-07T14:35:15,1,sweep_logs_bayliss/run009_weight_decay_0.2_rep5.log,64,32,False,0.1,0.0001,0.2,0.8,70
