run_name,timestamp,returncode,log_file,num_group,group_size,freeze_encoder,drop_path,lr,weight_decay,gamma,batch_size,trans_dim,depth,cls_dim,encoder_dims
run002_freeze_encoder,2026-09-12T11:41:05,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run001_baseline,2026-09-12T11:41:19,1,sweep_logs_mamba/run001_baseline.log,64,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run002_freeze_encoder,2026-09-12T11:41:20,1,sweep_logs_mamba/run002_freeze_encoder.log,64,32,True,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run003_groups_undersampled,2026-09-12T11:41:21,1,sweep_logs_mamba/run003_groups_undersampled.log,32,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run004_groups_oversampled,2026-09-12T11:41:22,1,sweep_logs_mamba/run004_groups_oversampled.log,128,32,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run005_groups_fewer_larger,2026-09-12T11:41:24,1,sweep_logs_mamba/run005_groups_fewer_larger.log,32,64,False,0.1,0.0001,0.05,0.8,70,512,12,1000,512
run006_drop_path_0.0,2026-09-12T11:41:25,1,sweep_logs_mamba/run006_drop_path_0.0.log,64,32,False,0.0,0.0001,0.05,0.8,70,512,12,1000,512
run007_drop_path_0.3,2026-09-12T11:41:26,1,sweep_logs_mamba/run007_drop_path_0.3.log,64,32,False,0.3,0.0001,0.05,0.8,70,512,12,1000,512
run008_weight_decay_0.0,2026-09-12T11:41:27,1,sweep_logs_mamba/run008_weight_decay_0.0.log,64,32,False,0.1,0.0001,0.0,0.8,70,512,12,1000,512
run009_weight_decay_0.2,2026-09-12T11:41:29,1,sweep_logs_mamba/run009_weight_decay_0.2.log,64,32,False,0.1,0.0001,0.2,0.8,70,512,12,1000,512
run010_lr_1e-3,2026-09-12T11:41:30,1,sweep_logs_mamba/run010_lr_1e-3.log,64,32,False,0.1,0.001,0.05,0.8,70,512,12,1000,512
run011_lr_1e-5,2026-09-12T11:41:31,1,sweep_logs_mamba/run011_lr_1e-5.log,64,32,False,0.1,1e-05,0.05,0.8,70,512,12,1000,512
